pais,puesto,tema,popularidad,danceability,energy,dancefloat,enerfloat,id,preview
España,1,POLARIS (Remix),82,1,4,0.623,0.799,0EhuGnOS6fTc5l5UNtDEH2,https://p.scdn.co/mp3-preview/b37a38391095401092248050ce3275860ccd743a?cid=0b297fa8a249464ba34f5861d4140e58
España,2,WHERE SHE GOES,98,1,4,0.652,0.8,7ro0hRteUMfnOioTFI5TG1,https://p.scdn.co/mp3-preview/b9b7e4c982b33ee23c4867f7a3025e3598c35760?cid=0b297fa8a249464ba34f5861d4140e58
España,3,El Cielo,87,2,1,0.715,0.642,4PA1wK0leCjmRZlP5dQ8Lv,https://p.scdn.co/mp3-preview/6ecfde4a8f2fee1ead220cd9e6926d605470009e?cid=0b297fa8a249464ba34f5861d4140e58
España,4,Los del Espacio,89,4,1,0.813,0.682,1Hs1uUl8o2VtDp1DABFq0O,https://p.scdn.co/mp3-preview/5bbdd15509b10d1b62cf5aa43500255754e2096b?cid=0b297fa8a249464ba34f5861d4140e58
España,5,VAGABUNDO,88,4,4,0.817,0.851,1MB8kTH7VKvAMfL9SHgJmG,https://p.scdn.co/mp3-preview/ecc54018d0e245f8cd178c40b2ff3fd2d98fcc0c?cid=0b297fa8a249464ba34f5861d4140e58
España,6,Supernova,84,2,2,0.725,0.743,0zY2rypOdM8xmsf4tUyafF,https://p.scdn.co/mp3-preview/7322296664c41a6fdb334bbdd22472bf0762be2f?cid=0b297fa8a249464ba34f5861d4140e58
España,7,Clavaito,83,4,1,0.863,0.664,26V1bLUk0SBYkLEwl4caPR,https://p.scdn.co/mp3-preview/b1580f98245a043e99847acc48da2e5f56024bc7?cid=0b297fa8a249464ba34f5861d4140e58
España,8,EL TONTO,84,3,4,0.801,0.801,4rKQ8daoK0aklVptea8A9E,https://p.scdn.co/mp3-preview/cac5b94e5399bc2548229d06fc8769a9495e0fd4?cid=0b297fa8a249464ba34f5861d4140e58
España,9,El Merengue,92,3,1,0.775,0.677,51FvjPEGKq2zByeeEQ43V9,https://p.scdn.co/mp3-preview/a933b6e1d6a47e591c13192f2b5e58739d3d5a06?cid=0b297fa8a249464ba34f5861d4140e58
España,10,LAS BABYS,76,2,4,0.695,0.815,1FhRIZtz1d4qLVe4928exT,https://p.scdn.co/mp3-preview/d62c808fb9c534839aa83a1990a45098745acfb8?cid=0b297fa8a249464ba34f5861d4140e58
