puesto,nombre,edad,nacimiento,lugar,club,perfil,instagram,hincha,valor,altura,partidos,goles,debut,goles_totales,archivo
arquero,Emiliano Martí­nez,30,02/09/1992,"Mar del Plata, Pcia Bs As",Aston Villa (ING),Derecha,emi_martinez26,Independiente,28,"1,95",18,-5,03/06/2021 1:1 vs Chil Elim Mund. ,-252,emiliano-martinez
arquero,Franco Armani,36,16/10/1986,"Casilda, Santa Fe",River Plate (ARG),Derecha,francoarmani34,River Plate,"3,5","1,89",18,-18,26/06/2018  2:1 vs Nigeria Mundial Rusia,-423,franco-armani
arquero,Gerónimo Rulli,30,20/05/1992,"La Plata , Pcia Bs As",Villarreal (ESP),Derecha,gerorulli,-,6,"1,89",4,-1,07/09/2018 3:0 vs Guatemala Amis.,-356,geronimo-rulli
defensor,Nahuel Molina,24,06/04/1998,"Embalse, Córdoba",Atlí©tico de Madrid (ESP),Derecha,nahuelmolina35,-,20,"1,75",19,0,03/06/2021 1:1 vs Chile Elim. Mund,14,nahuel-molina-lucero
defensor,Gonzalo Montiel,25,01/01/1997,"González Catán, Pcia Bs As",Sevilla (ESP),Derecha,gonzalo_montiel29,River Plate,14,"1,76",17,0,22/03/2019 1:3 vs Venezuela Amistoso,8,gonzalo-montiel
defensor,Cristian Romero,24,27/04/1998,Córdoba capital,Tottenham Hotspur (ING),Derecha,cutiromero2,Belgrano de Córdoba,55,"1,85",12,1,03/06/2021 1:1 vs Chil Elim Mund. ,8,cristian-romero
defensor,Germán Pezzella,31,27/06/1991,"Bahí­a Blanca, Pcia Bs As",Betis (ESP),Derecha,germanpezzella,River Plate,5,"1,87",31,2,11/11/2017 1:0 vs Rusia Amistoso,19,german-pezzella
defensor,Nicolás Otamendi,34,12/02/1988,"El Talar, Pcia Bs As",Benfica (POR),Derecha,nicolasotamendi30,River Plate,"3,5","1,83",92,4,20/05/2009 3:1 vs Panamá Amistoso,34,nicolas_otamendi
defensor,Lisandro Martí­nez,24,18/01/1998,"Gualeguay, Entre Rios  ",Manchester United (ING),Izquierda,lisandromartinezzz,-,50,"1,75",9,0,22/03/2019 1:3 vs Venezuela Amistoso,9,lisandro-martinez
defensor,Marcos Acuña,31,28/10/1991,"Zapala, Neuquí©n",Sevilla (ESP),Izquierda,marcos.acuna10,-,18,"1,72",42,0,15/11/2016 3:0 vs Colombia Elim Mund,36,marcos-acunia
defensor,Nicolás Tagliafico,30,31/08/1992,"Rafael Calzada, Pcia Bs As",Olympique Lyon (FRA),Izquierda,tagliafico3,Banfield,11,"1,72",42,0,09/06/2017 1:0 vs Brasil Amistoso,23,nicolas-tagliafico
defensor,Juan Foyth,24,12/01/1998,"La Plata, Pcia Bs As",Villarreal (ESP),Derecha,juanfoyth,Boca - Estudiantes LP,25,"1,87",15,0,16/11/2018 2:0 vs Mí©xico Amistoso,3,juan-foyth
mediocampista,Rodrigo De Paul,28,24/05/1994,"Sarandí­, Pcia Bs As",Atlí©tico de Madrid (ESP),Dercha,rodridepaul,Racing Club,35,"1,8",43,2,11/10/2018 4:0 vs Irak Amistoso,51,rodrigo-de-paul
mediocampista,Enzo Fernández,21,17/01/2001,"San Martí­n, Pcia Bs As ",Benfica (POR),Derecha,enzojfernandez,-,20,"1,78",2,0,23/09/2022 3:0 vs Honduras Amistoso,17,enzo-fernandez
mediocampista,Exequiel Palacios,24,05/10/1998,"Famaillá, Tucumán",Bayer Leverkusen (ALE) ,Derecha,exepalaciosok,River Plate,15,"1,77",20,0,07/09/2018 3:0 vs Guatemala Amis.,15,exequiel-palacios
mediocampista,Leandro Paredes ,28,29/06/1994,"San Justo, Pcia Bs As",Juventus (ITA),Derecha,leoparedes20,Boca Juniors,17,"1,8",45,4,13/06/2017 6:0 vs Singapur Amistoso,30,leandro-paredes
mediocampista,Guido Rodriguez,28,12/04/1994,"Sáenz Peña, Pcia Bs As",Betis (ESP),Derecha,guiido_rodriguez,-,25,"1,85",25,1,09/06/2017 1:0 vs Brasil Amistoso,25,guido-rodriguez
mediocampista,Alejandro Gómez,34,15/02/1988,"CABA, CABA",Sevilla (ESP) ,Derecha,papugomez_official,-,6,"1,67",15,3,13/06/2017 6:0 vs Singapur Amistoso,117,alejandro-gomez
mediocampista,Alexis Mac Allister,23,24/12/1998,"Santa Rosa, La Pampa",Brghton Albion (ING),Derecha,alemacallister,Boca Juniors,25,"1,74",7,0,06/09/2019 0:0 vs Chile,30,alexis-mac-allister
delantero,Lautaro Martí­nez,25,22/08/1997,"Bahí­a Blanca, Pcia Bs As",Inter de Milán (ITA),Derecha,lautaromartinez,-,75,"1,74",40,21,27/03/2018 1:6 vs España Amistoso,136,lautaro-marinez
delantero,Lionel Messi,35,24/06/1987,"Rosario, Santa Fe",Paris Saint-Germain (FRA),Izquierda,leomessi,Newell's,50,"1,7",164,90,17/08/2005 2:1 vs Hungrí­a Amistoso,801,lionel-messi
